kind,target,status,final_url,sources,note
internal,/,ERR,https://web-gamma-snowy-38.vercel.app/,/seed,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/ai-native-vs-non-ai-native-comparison.html,ERR,https://web-gamma-snowy-38.vercel.app/ai-native-vs-non-ai-native-comparison.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/ai-solutioning-index.html,ERR,https://web-gamma-snowy-38.vercel.app/ai-solutioning-index.html,/ai-native-vs-non-ai-native-comparison.html;/ai-solutioning-journey.html;/ai-solutioning-metrics.html;/ai-solutioning-whitepaper.html;/architecture-evolution-timeline.html;/blog-post-ai-solutioning.html;/executive-summary.html;/java-rebuild-deep-dive.html;/origin-story.html;/performance-benchmarking.html;/platform-architecture.html;/sales-narrative.html;/shared-nav.html;/sitemap.xml;/spec-driven-development-analysis.html;/traditional-vs-ai-solutioning-comparison.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/ai-solutioning-journey.html,ERR,https://web-gamma-snowy-38.vercel.app/ai-solutioning-journey.html,/ai-solutioning-index.html;/executive-summary.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/ai-solutioning-metrics.html,ERR,https://web-gamma-snowy-38.vercel.app/ai-solutioning-metrics.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/ai-solutioning-whitepaper.html,ERR,https://web-gamma-snowy-38.vercel.app/ai-solutioning-whitepaper.html,/ai-solutioning-index.html;/ai-solutioning-whitepaper.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/architecture-evolution-timeline.html,ERR,https://web-gamma-snowy-38.vercel.app/architecture-evolution-timeline.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/assets/race-track-fhir/comparison-3-views.svg,ERR,https://web-gamma-snowy-38.vercel.app/assets/race-track-fhir/comparison-3-views.svg,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/assets/race-track-fhir/legend.svg,ERR,https://web-gamma-snowy-38.vercel.app/assets/race-track-fhir/legend.svg,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/assets/race-track-fhir/view-mixed.svg,ERR,https://web-gamma-snowy-38.vercel.app/assets/race-track-fhir/view-mixed.svg,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/assets/race-track-fhir/view-non-technical.svg,ERR,https://web-gamma-snowy-38.vercel.app/assets/race-track-fhir/view-non-technical.svg,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/assets/race-track-fhir/view-technical.svg,ERR,https://web-gamma-snowy-38.vercel.app/assets/race-track-fhir/view-technical.svg,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/blog-post-ai-solutioning.html,ERR,https://web-gamma-snowy-38.vercel.app/blog-post-ai-solutioning.html,/ai-solutioning-index.html;/blog-post-ai-solutioning.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/cms-vision.html,ERR,https://web-gamma-snowy-38.vercel.app/cms-vision.html,/kill-tony-vision-deck.html;/platform-architecture.html;/shared-nav.html;/sitemap.xml;/speech-final.html;/validation-report.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/one-patient-n-measures-20260223T005159Z.json,ERR,https://web-gamma-snowy-38.vercel.app/evidence/one-patient-n-measures-20260223T005159Z.json,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/one-patient-n-measures-20260223T005159Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/one-patient-n-measures-20260223T005159Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/one-patient-n-measures-20260223T005554Z.json,ERR,https://web-gamma-snowy-38.vercel.app/evidence/one-patient-n-measures-20260223T005554Z.json,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/one-patient-n-measures-20260223T005554Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/one-patient-n-measures-20260223T005554Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/one-patient-n-measures-20260223T005557Z.json,ERR,https://web-gamma-snowy-38.vercel.app/evidence/one-patient-n-measures-20260223T005557Z.json,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/one-patient-n-measures-20260223T005557Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/one-patient-n-measures-20260223T005557Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/portal-link-audit-localhost-4174-20260223T005837Z.csv,ERR,https://web-gamma-snowy-38.vercel.app/evidence/portal-link-audit-localhost-4174-20260223T005837Z.csv,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/portal-link-audit-localhost-4174-20260223T005837Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/portal-link-audit-localhost-4174-20260223T005837Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/portal-link-audit-web-gamma-snowy-38-vercel-app-20260222T154550Z.csv,ERR,https://web-gamma-snowy-38.vercel.app/evidence/portal-link-audit-web-gamma-snowy-38-vercel-app-20260222T154550Z.csv,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/portal-link-audit-web-gamma-snowy-38-vercel-app-20260222T154550Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/portal-link-audit-web-gamma-snowy-38-vercel-app-20260222T154550Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/validation-summary-20260223T005654Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/validation-summary-20260223T005654Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/web-performance-20260223T005654Z.csv,ERR,https://web-gamma-snowy-38.vercel.app/evidence/web-performance-20260223T005654Z.csv,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/web-validation-20260223T005654Z.md,ERR,https://web-gamma-snowy-38.vercel.app/evidence/web-validation-20260223T005654Z.md,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/evidence/web-vitals-20260223T005654Z.csv,ERR,https://web-gamma-snowy-38.vercel.app/evidence/web-vitals-20260223T005654Z.csv,/race-track-fhir-evidence.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/executive-summary.html,ERR,https://web-gamma-snowy-38.vercel.app/executive-summary.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/java-rebuild-deep-dive.html,ERR,https://web-gamma-snowy-38.vercel.app/java-rebuild-deep-dive.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/kill-tony-vision-deck.html,ERR,https://web-gamma-snowy-38.vercel.app/kill-tony-vision-deck.html,/ai-solutioning-index.html;/cms-vision.html;/kill-tony-vision-deck.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/origin-story.html,ERR,https://web-gamma-snowy-38.vercel.app/origin-story.html,/ai-solutioning-index.html;/origin-story.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/performance-benchmarking.html,ERR,https://web-gamma-snowy-38.vercel.app/performance-benchmarking.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/platform-architecture.html,ERR,https://web-gamma-snowy-38.vercel.app/platform-architecture.html,/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/race-track-fhir-evidence.html,ERR,https://web-gamma-snowy-38.vercel.app/race-track-fhir-evidence.html,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/race-track-fhir-pipeline,ERR,https://web-gamma-snowy-38.vercel.app/race-track-fhir-pipeline,/ai-solutioning-index.html;/platform-architecture.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/race-track-fhir-pipeline-print.html,ERR,https://web-gamma-snowy-38.vercel.app/race-track-fhir-pipeline-print.html,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/race-track-fhir-pipeline?ab=a,ERR,https://web-gamma-snowy-38.vercel.app/race-track-fhir-pipeline?ab=a,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/race-track-fhir-pipeline?ab=b,ERR,https://web-gamma-snowy-38.vercel.app/race-track-fhir-pipeline?ab=b,/race-track-fhir-pipeline-b.html;/race-track-fhir-pipeline.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/sales-narrative.html,ERR,https://web-gamma-snowy-38.vercel.app/sales-narrative.html,/ai-solutioning-index.html;/sales-narrative.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/sitemap.xml,ERR,https://web-gamma-snowy-38.vercel.app/sitemap.xml,/seed,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/spec-driven-development-analysis.html,ERR,https://web-gamma-snowy-38.vercel.app/spec-driven-development-analysis.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/speech-final.html,ERR,https://web-gamma-snowy-38.vercel.app/speech-final.html,/ai-solutioning-index.html;/cms-vision.html;/shared-nav.html;/sitemap.xml;/speech-final.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/traditional-vs-ai-solutioning-comparison.html,ERR,https://web-gamma-snowy-38.vercel.app/traditional-vs-ai-solutioning-comparison.html,/ai-solutioning-index.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/validation-report.html,ERR,https://web-gamma-snowy-38.vercel.app/validation-report.html,/ai-solutioning-index.html;/cms-vision.html;/shared-nav.html;/sitemap.xml;/validation-report.html,<urlopen error [Errno -3] Temporary failure in name resolution>
internal,/vision-deck.html,ERR,https://web-gamma-snowy-38.vercel.app/vision-deck.html,/platform-architecture.html;/shared-nav.html;/sitemap.xml,<urlopen error [Errno -3] Temporary failure in name resolution>
